kingdom_number,kvk_number,opponent_kingdom,prep_result,battle_result,overall_result,kvk_date,order_index
29,7,9,W,L,Preparation,"Nov 8, 2025",7
29,8,70,W,L,Preparation,"Dec 6, 2025",8
29,9,32,W,L,Preparation,"Jan 3, 2026",9
30,2,17,L,L,Loss,"Jun 21, 2025",2
30,3,50,W,W,Win,"Jul 19, 2025",3
30,4,93,L,W,Battle,"Aug 16, 2025",4
30,5,48,W,W,Win,"Sep 13, 2025",5
30,6,39,L,W,Battle,"Oct 11, 2025",6
30,7,17,W,L,Preparation,"Nov 8, 2025",7
30,8,10,W,W,Win,"Dec 6, 2025",8
30,9,23,W,L,Preparation,"Jan 3, 2026",9
31,2,52,L,L,Loss,"Jun 21, 2025",2
31,4,73,L,L,Loss,"Aug 16, 2025",4
31,5,21,W,W,Win,"Sep 13, 2025",5
31,6,55,L,L,Loss,"Oct 11, 2025",6
31,7,63,L,L,Loss,"Nov 8, 2025",7
31,8,35,W,W,Win,"Dec 6, 2025",8
31,9,17,L,L,Loss,"Jan 3, 2026",9
32,2,24,W,L,Preparation,"Jun 21, 2025",2
32,3,54,W,W,Win,"Jul 19, 2025",3
32,4,29,W,W,Win,"Aug 16, 2025",4
32,5,37,L,L,Loss,"Sep 13, 2025",5
32,6,51,W,W,Win,"Oct 11, 2025",6
32,7,28,L,L,Loss,"Nov 8, 2025",7
32,8,15,W,L,Preparation,"Dec 6, 2025",8
32,9,29,L,W,Battle,"Jan 3, 2026",9
33,2,15,L,L,Loss,"Jun 21, 2025",2
33,3,24,L,L,Loss,"Jul 19, 2025",3
33,4,71,W,W,Win,"Aug 16, 2025",4
33,5,10,W,L,Preparation,"Sep 13, 2025",5
33,6,15,W,W,Win,"Oct 11, 2025",6
33,7,22,W,W,Win,"Nov 8, 2025",7
33,8,18,W,L,Preparation,"Dec 6, 2025",8
33,9,7,W,W,Win,"Jan 3, 2026",9
34,2,41,L,W,Battle,"Jun 21, 2025",2
34,3,55,L,L,Loss,"Jul 19, 2025",3
34,4,27,W,L,Preparation,"Aug 16, 2025",4
34,5,53,W,W,Win,"Sep 13, 2025",5
34,6,41,L,L,Loss,"Oct 11, 2025",6
34,7,35,W,W,Win,"Nov 8, 2025",7
34,8,60,L,L,Loss,"Dec 6, 2025",8
34,9,28,W,W,Win,"Jan 3, 2026",9
35,2,36,W,W,Win,"Jun 21, 2025",2
35,3,66,L,L,Loss,"Jul 19, 2025",3
35,4,124,L,W,Battle,"Aug 16, 2025",4
35,5,62,L,L,Loss,"Sep 13, 2025",5
35,6,29,L,W,Battle,"Oct 11, 2025",6
35,7,34,L,L,Loss,"Nov 8, 2025",7
35,8,31,L,L,Loss,"Dec 6, 2025",8
35,9,47,L,L,Loss,"Jan 3, 2026",9
36,2,35,L,L,Loss,"Jun 21, 2025",2
36,3,67,W,W,Win,"Jul 19, 2025",3
36,4,116,L,W,Battle,"Aug 16, 2025",4
36,5,26,W,W,Win,"Sep 13, 2025",5
