kingdom_number,total_kvks,prep_wins,prep_losses,prep_win_rate,prep_win_streak,battle_wins,battle_losses,battle_win_rate,battle_win_streak,dominations,defeats,most_recent_status,overall_score
948,2,2,0,1.0,2,0,2,0.0,2,0,0,Unannounced,2.95
949,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
950,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
951,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
952,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,5.06
953,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
954,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
955,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
956,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
957,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
958,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
959,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
960,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
961,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
962,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
963,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
964,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
965,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
966,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
967,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
968,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
969,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
970,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
971,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
972,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
973,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
974,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
975,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
976,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
977,2,0,2,0.0,2,2,0,1.0,2,0,0,Unannounced,4.48
978,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
979,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
980,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,0.8
981,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
982,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
983,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
984,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,0.8
985,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
986,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
987,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
988,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
989,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
990,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
991,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.37
992,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
993,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
994,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
995,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,5.06
996,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
997,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
998,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
999,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,5.06
1000,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
1001,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
1002,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
1003,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
1004,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
1005,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
1006,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.37
1007,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
1008,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
1009,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
1010,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
1011,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
1012,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
1013,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
1014,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
1015,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
1016,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
1017,2,0,2,0.0,2,2,0,1.0,2,0,0,Unannounced,4.48
1018,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
1019,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
1020,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
1021,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
1022,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,0.8
1023,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
1024,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
1025,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
1026,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
1027,2,2,0,1.0,2,0,2,0.0,2,0,0,Unannounced,2.95
1028,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
1029,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
1030,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
1031,2,0,2,0.0,2,2,0,1.0,2,0,0,Unannounced,4.48
1032,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
1033,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
1034,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
1035,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
1036,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
1037,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
1038,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
1039,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
1040,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
1041,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
1042,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
1043,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
1044,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
1045,1,0,1,0.0,1,1,0,1.0,1,0,0,Unannounced,2.92
1046,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
1047,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,5.06
1048,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
