,Transfer #1,"Sep 15, 2025",Transfer #2,"Nov 10, 2025",Transfer #3,"Jan 5, 2026",Transfer #4,"Jan 5, 2026"
Kingdom,Group,Status,Group,Status,Group,Status,Group,Leading
271,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
272,N/A,N/A,3,Leading,3,Ordinary,3,Ordinary
273,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
274,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
275,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
276,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
277,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
278,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
279,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
280,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
281,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
282,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
283,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
284,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
285,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
286,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
287,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
288,N/A,N/A,3,Leading,3,Ordinary,3,Ordinary
289,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
290,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
291,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
292,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
293,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
294,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
295,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
296,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
297,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
298,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
299,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
300,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
301,N/A,N/A,3,Leading,3,Ordinary,3,Ordinary
